Age of House (in Years) (bin),Condition of the house,Living area after renovation 2,Renovation Age Group,Renovation Status,Sale Price (bin),Years Since Renovation (bin),Zipcode Group,Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Condition of the House Excellent,Condition of the House Fair,Condition of the House Good,Condition of the House Okay,Count of Sales Price,Ever Renovated Yes,Flat Area (in Sqft),Latitude,Living Area after Renovation (in Sqft),Longitude,Lot Area (in Sqft),Lot Area after Renovation (in Sqft),No of Bathrooms,No of Bedrooms,No of Floors,No of Times Visited,Number of records,Overall Grade,Sale Price,Total Records,Waterfront View Yes,Years Since Renovation
60,Good,Small,0,Recently Renovated,275000,0,00000,61,1480,0,0,0,1,0,1,0,1480,47.4312,1450,-122.196,15000,8768,2,4,1,0,1,7,275000,1,0,0
60,Good,Small,0,Recently Renovated,405100,0,00000,63,1580,0,0,0,1,0,1,0,1580,47.7598,1180,-122.328,7300,9450,2,4,1,0,1,7,405100,1,0,0
60,Good,Small,0,Recently Renovated,483300,0,00000,63,1210,0,0,0,1,0,1,0,1210,47.5747,1280,-122.145,11100,11100,2,4,1,0,1,7,483300,1,0,0
60,Good,Medium,0,Recently Renovated,721000,0,00000,64,1220,1060,0,0,1,0,1,0,2280,47.6986,1970,-122.297,8339,8340,2,4,1,0,1,7,721000,1,0,0
60,Good,Small,0,Recently Renovated,304000,0,00000,65,1310,0,0,0,1,0,1,0,1310,47.7572,1320,-122.318,8454,8274,2,4,1,0,1,7,304000,1,0,0
60,Good,Small,0,Recently Renovated,305000,0,00000,66,1610,0,0,0,1,0,1,0,1610,47.5293,1310,-122.271,6250,6000,2,4,1,0,1,7,305000,1,0,0
60,Good,Medium,0,Recently Renovated,700000,0,00000,66,1690,800,0,0,1,0,1,0,2490,47.5254,2240,-122.392,4700,5000,2,4,1,0,1,7,700000,1,0,0
60,Good,Medium,0,Recently Renovated,659000,0,00000,67,2090,0,0,0,1,0,1,0,2090,47.5759,2090,-122.223,10800,10800,2,4,1,0,1,7,659000,1,0,0
60,Good,Small,0,Recently Renovated,446000,0,00000,67,970,970,0,0,1,0,1,0,1940,47.6948,960,-122.357,6350,6350,2,4,1,0,1,7,446000,1,0,0
60,Good,Small,0,Recently Renovated,420000,0,00000,68,850,850,0,0,1,0,1,0,1700,47.6973,1470,-122.295,6375,8360,2,4,1,0,1,7,420000,1,0,0
60,Good,Small,0,Recently Renovated,537000,0,00000,68,860,860,0,0,1,0,1,0,1720,47.5734,1280,-122.395,6413,6413,2,4,1,0,1,7,537000,1,0,0
60,Good,Small,0,Recently Renovated,525000,0,00000,69,860,860,0,0,1,0,1,0,1720,47.6765,1100,-122.287,6099,5671,2,4,1,0,1,7,525000,1,0,0
60,Good,Medium,0,Recently Renovated,635000,0,00000,69,1380,1280,0,0,1,0,1,0,2660,47.7229,1660,-122.359,8160,8160,2,4,1,0,1,7,635000,1,0,0
70,Good,Small,0,Recently Renovated,247500,0,00000,70,1230,1230,0,0,1,0,1,0,2460,47.308,1260,-122.209,5921,6648,2,4,1,0,1,7,247500,1,0,0
70,Good,Small,0,Recently Renovated,640000,0,00000,71,1890,670,0,0,1,0,1,0,2560,47.6914,1330,-122.296,7798,7798,2,4,1,0,1,7,640000,1,0,0
70,Good,Medium,0,Recently Renovated,525000,0,00000,71,1130,1130,0,0,1,0,1,0,2260,47.7193,1800,-122.361,7680,7680,2,4,1,0,1,7,525000,1,0,0
70,Good,Small,0,Recently Renovated,525000,0,00000,72,770,770,0,0,1,0,1,0,1540,47.6886,1090,-122.375,3740,5080,2,4,1,0,1,7,525000,1,0,0
70,Good,Medium,0,Recently Renovated,639000,0,00000,76,920,920,0,0,1,0,1,0,1840,47.6483,1800,-122.404,5419,5419,2,4,1,0,1,7,639000,1,0,0
70,Good,Small,0,Recently Renovated,495000,0,00000,77,1230,380,0,0,1,0,1,0,1610,47.5333,1180,-122.381,4770,6120,2,4,1,0,1,7,495000,1,0,0
70,Good,Medium,0,Recently Renovated,344950,0,00000,77,1400,930,0,0,1,0,1,0,2330,47.3782,2050,-122.228,6250,9000,2,4,1,0,1,7,344950,1,0,0
70,Good,Medium,0,Recently Renovated,489000,0,00000,78,1060,1060,0,0,1,0,1,0,2120,47.7084,1540,-122.303,11479,11000,2,4,1,0,1,7,489000,1,0,0
90,Good,Medium,0,Recently Renovated,415000,0,00000,95,1000,800,0,0,1,0,1,0,1800,47.6833,1690,-122.312,2970,3801,2,4,1,0,1,7,415000,1,0,0
90,Good,Medium,0,Recently Renovated,656500,0,00000,99,1460,1250,0,0,1,0,1,0,2710,47.6756,1700,-122.305,4750,3800,2,4,1,0,1,7,656500,1,0,0
100,Good,Medium,0,Recently Renovated,639000,0,00000,108,980,960,0,0,1,0,1,0,1940,47.6719,1940,-122.369,5000,5000,2,4,1,0,1,7,639000,1,0,0
20,Good,Medium,0,Recently Renovated,236000,0,00000,29,1200,630,0,0,1,0,1,0,1830,47.2995,1730,-122.387,9485,10109,2.25,4,1,0,1,7,236000,1,0,0
30,Good,Medium,0,Recently Renovated,280000,0,00000,30,1360,570,0,0,1,0,1,0,1930,47.3783,1760,-122.182,7207,7207,2.25,4,1,0,1,7,280000,1,0,0
30,Good,Small,0,Recently Renovated,231500,0,00000,33,1280,800,0,0,1,0,1,0,2080,47.3762,1200,-122.183,7526,7500,2.25,4,1,0,1,7,231500,1,0,0
30,Good,Medium,0,Recently Renovated,620000,0,00000,37,1030,500,0,0,1,0,1,0,1530,47.5589,1710,-122.082,7845,7627,2.25,4,1,0,1,7,620000,1,0,0
30,Good,Medium,0,Recently Renovated,299500,0,00000,39,1080,520,0,0,1,0,1,0,1600,47.4629,1620,-121.743,15312,12375,2.25,4,1,0,1,7,299500,1,0,0
30,Good,Medium,0,Recently Renovated,464900,0,00000,39,1380,640,0,0,1,0,1,0,2020,47.7262,2030,-122.233,8424,7236,2.25,4,1,0,1,7,464900,1,0,0
30,Good,Large,0,Recently Renovated,420000,0,00000,39,1360,910,0,0,1,0,1,0,2270,47.7559,2500,-122.148,12000,10120,2.25,4,1,0,1,7,420000,1,0,0
30,Good,Medium,0,Recently Renovated,452250,0,00000,39,1560,990,0,0,1,0,1,0,2550,47.77,2440,-122.259,10000,10000,2.25,4,1,0,1,7,452250,1,0,0
40,Good,Medium,0,Recently Renovated,285000,0,00000,40,1240,910,0,0,1,0,1,0,2150,47.3045,2050,-122.378,8250,7875,2.25,4,1,0,1,7,285000,1,0,0
40,Good,Medium,0,Recently Renovated,465000,0,00000,41,1470,670,0,0,1,0,1,0,2140,47.7213,2130,-122.171,7701,8050,2.25,4,1,0,1,7,465000,1,0,0
40,Good,Medium,0,Recently Renovated,311100,0,00000,41,1380,750,0,0,1,0,1,0,2130,47.4482,2300,-122.209,8078,8112,2.25,4,1,0,1,7,311100,1,0,0
40,Good,Medium,0,Recently Renovated,480000,0,00000,41,1300,930,0,0,1,0,1,0,2230,47.7691,2090,-122.167,11200,10563,2.25,4,1,0,1,7,480000,1,0,0
40,Good,Small,0,Recently Renovated,289950,0,00000,41,1040,1150,0,0,1,0,1,0,2190,47.319,1250,-122.373,6906,6440,2.25,4,1,0,1,7,289950,1,0,0
40,Good,Medium,0,Recently Renovated,426000,0,00000,42,1490,630,0,0,1,0,1,0,2120,47.7207,1890,-122.165,7700,8203,2.25,4,1,0,1,7,426000,1,0,0
40,Good,Medium,0,Recently Renovated,311750,0,00000,42,1290,980,0,0,1,0,1,0,2270,47.3287,2030,-122.353,12000,23980,2.25,4,1,0,1,7,311750,1,0,0
40,Good,Medium,0,Recently Renovated,325000,0,00000,43,1600,530,0,0,1,0,1,0,2130,47.3657,1890,-122.21,8499,11368,2.25,4,1,0,1,7,325000,1,0,0
40,Good,Medium,0,Recently Renovated,442500,0,00000,45,1390,450,0,0,1,0,1,0,1840,47.7328,1820,-122.198,7575,7500,2.25,4,1,0,1,7,442500,1,0,0
40,Good,Medium,0,Recently Renovated,430000,0,00000,45,1110,680,0,0,1,0,1,0,1790,47.7709,2270,-122.294,7203,9000,2.25,4,1,0,1,7,430000,1,0,0
40,Good,Medium,0,Recently Renovated,418800,0,00000,45,1290,810,0,0,1,0,1,0,2100,47.7365,1930,-122.242,9984,10511,2.25,4,1,0,1,7,418800,1,0,0
40,Good,Medium,0,Recently Renovated,450000,0,00000,46,1040,670,0,0,1,0,1,0,1710,47.719,1780,-122.217,7000,6500,2.25,4,1,0,1,7,450000,1,0,0
40,Good,Medium,0,Recently Renovated,267300,0,00000,46,1610,900,0,0,1,0,1,0,2510,47.3092,1940,-122.372,8165,8250,2.25,4,1,0,1,7,267345,1,0,0
40,Good,Medium,0,Recently Renovated,330000,0,00000,49,1170,620,0,0,1,0,1,0,1790,47.5126,1990,-122.149,9920,9648,2.25,4,1,0,1,7,330000,1,0,0
50,Good,Medium,0,Recently Renovated,215000,0,00000,51,1900,0,0,0,1,0,1,0,1900,47.4208,2040,-122.2,9600,9600,2.25,4,1,0,1,7,215000,1,0,0
50,Good,Medium,0,Recently Renovated,545000,0,00000,51,1590,440,0,0,1,0,1,0,2030,47.6561,1960,-122.13,11585,8977,2.25,4,1,0,1,7,545000,1,0,0
50,Good,Medium,0,Recently Renovated,425000,0,00000,51,1540,520,0,0,1,0,1,0,2060,47.734,1560,-122.19,8540,7700,2.25,4,1,0,1,7,425000,1,0,0
50,Good,Medium,0,Recently Renovated,305000,0,00000,52,2130,0,0,0,1,0,1,0,2130,47.4119,1710,-122.211,9600,9600,2.25,4,1,0,1,7,305000,1,0,0
50,Good,Medium,0,Recently Renovated,421000,0,00000,52,1310,0,0,0,1,0,1,0,1310,47.7317,1600,-122.181,8400,8400,2.25,4,1,0,1,7,421000,1,0,0
50,Good,Small,0,Recently Renovated,450000,0,00000,53,1030,960,0,0,1,0,1,0,1990,47.5237,1320,-122.376,7320,7320,2.25,4,1,0,1,7,450000,1,0,0
50,Good,Medium,0,Recently Renovated,360000,0,00000,54,1550,1070,0,0,1,0,1,0,2620,47.4564,1650,-122.351,8100,8100,2.25,4,1,0,1,7,360000,1,0,0
50,Good,Medium,0,Recently Renovated,506000,0,00000,55,1300,740,0,0,1,0,1,0,2040,47.7362,1930,-122.241,12000,12000,2.25,4,1,0,1,7,506000,1,0,0
50,Good,Medium,0,Recently Renovated,335000,0,00000,55,1050,1050,0,0,1,0,1,0,2100,47.4676,1760,-122.296,7305,7308,2.25,4,1,0,1,7,335000,1,0,0
50,Good,Medium,0,Recently Renovated,335000,0,00000,55,1140,1140,0,0,1,0,1,0,2280,47.4182,1660,-122.332,7500,8000,2.25,4,1,0,1,7,335000,1,0,0
50,Good,Large,0,Recently Renovated,598750,0,00000,55,1520,1520,0,0,1,0,1,0,3040,47.5911,2560,-122.133,12160,12090,2.25,4,1,0,1,7,598780,1,0,0
50,Good,Medium,0,Recently Renovated,264500,0,00000,56,1200,860,0,0,1,0,1,0,2060,47.314,2110,-122.363,11385,11385,2.25,4,1,0,1,7,264500,1,0,0
50,Good,Medium,0,Recently Renovated,359000,0,00000,56,1850,860,0,0,1,0,1,0,2710,47.3207,1700,-122.266,22860,22860,2.25,4,1,0,1,7,359000,1,0,0
50,Good,Medium,0,Recently Renovated,527000,0,00000,57,1410,970,0,0,1,0,1,0,2380,47.6164,2150,-122.115,5250,8560,2.25,4,1,0,1,7,527000,1,0,0
50,Good,Medium,0,Recently Renovated,290000,0,00000,59,1400,500,0,0,1,0,1,0,1900,47.3582,1700,-122.284,10950,11850,2.25,4,1,0,1,7,290000,1,0,0
50,Good,Medium,0,Recently Renovated,325000,0,00000,59,1170,700,0,0,1,0,1,0,1870,47.7157,2000,-122.234,9680,9790,2.25,4,1,0,1,7,325000,1,0,0
60,Good,Medium,0,Recently Renovated,455000,0,00000,60,1170,570,0,0,1,0,1,0,1740,47.6079,1980,-122.123,8449,11175,2.25,4,1,0,1,7,455000,1,0,0
60,Good,Medium,0,Recently Renovated,618000,0,00000,60,1210,1320,0,0,1,0,1,0,2530,47.6049,1720,-122.126,8736,8500,2.25,4,1,0,1,7,618000,1,0,0
60,Good,Medium,0,Recently Renovated,485000,0,00000,61,1850,0,0,0,1,0,1,0,1850,47.6019,1650,-122.116,9911,8670,2.25,4,1,0,1,7,485000,1,0,0
60,Good,Medium,0,Recently Renovated,650000,0,00000,61,1880,560,0,0,1,0,1,0,2440,47.5933,1530,-122.135,9320,9335,2.25,4,1,0,1,7,650000,1,0,0
60,Good,Small,0,Recently Renovated,495000,0,00000,62,1430,510,0,0,1,0,1,0,1940,47.5942,1460,-122.135,9144,9437,2.25,4,1,0,1,7,495000,1,0,0
10,Good,Medium,0,Recently Renovated,469500,0,00000,17,1140,950,0,0,1,0,1,0,2090,47.726,1510,-122.221,7241,7402,2.5,4,1,0,1,7,469500,1,0,0
20,Good,Medium,0,Recently Renovated,415000,0,00000,29,1160,0,0,0,1,0,1,0,1160,47.7643,1570,-122.295,16008,12645,2.5,4,1,0,1,7,415000,1,0,0
30,Good,Medium,0,Recently Renovated,220000,0,00000,30,1370,870,0,0,1,0,1,0,2240,47.314,1980,-122.364,9826,9826,2.5,4,1,0,1,7,220000,1,0,0
30,Good,Medium,0,Recently Renovated,635000,0,00000,31,2470,0,0,0,1,0,1,0,2470,47.5888,2490,-122.011,77550,40894,2.5,4,1,0,1,7,635000,1,0,0
30,Good,Medium,0,Recently Renovated,375000,0,00000,35,1470,620,0,0,1,0,1,0,2090,47.4888,1700,-122.184,8325,8025,2.5,4,1,0,1,7,375000,1,0,0
30,Good,Medium,0,Recently Renovated,312000,0,00000,37,1290,500,0,0,1,0,1,0,1790,47.4061,1730,-122.188,10584,9120,2.5,4,1,0,1,7,312000,1,0,0
30,Good,Small,0,Recently Renovated,549950,0,00000,37,1180,1050,0,0,1,0,1,0,2230,47.6305,1470,-122.034,14694,13458,2.5,4,1,0,1,7,549950,1,0,0
30,Good,Medium,0,Recently Renovated,600000,0,00000,37,1180,1050,0,0,1,0,1,0,2230,47.6297,1860,-122.033,12753,12753,2.5,4,1,0,1,7,600000,1,0,0
30,Good,Medium,0,Recently Renovated,400000,0,00000,38,2170,0,0,0,1,0,1,0,2170,47.281,1760,-121.933,204296,154202,2.5,4,1,0,1,7,400000,1,0,0
30,Good,Medium,0,Recently Renovated,317500,0,00000,39,1360,790,0,0,1,0,1,0,2150,47.4785,1620,-122.16,9000,8400,2.5,4,1,0,1,7,317500,1,0,0
30,Good,Medium,0,Recently Renovated,355000,0,00000,39,1940,830,0,0,1,0,1,0,2770,47.3396,2140,-122.256,7000,7684,2.5,4,1,0,1,7,355000,1,0,0
40,Good,Small,0,Recently Renovated,270000,0,00000,40,1660,0,0,0,1,0,1,0,1660,47.3761,1060,-122.32,8063,8437,2.5,4,1,0,1,7,270000,1,0,0
40,Good,Medium,0,Recently Renovated,506500,0,00000,40,1500,390,0,0,1,0,1,0,1890,47.7278,2070,-122.218,7200,7200,2.5,4,1,0,1,7,506500,1,0,0
40,Good,Medium,0,Recently Renovated,464950,0,00000,40,1230,1000,0,0,1,0,1,0,2230,47.4754,2230,-122.007,64438,71002,2.5,4,1,0,1,7,464950,1,0,0
40,Good,Small,0,Recently Renovated,425000,0,00000,41,1330,600,0,0,1,0,1,0,1930,47.7407,1470,-122.097,14196,12852,2.5,4,1,0,1,7,425000,1,0,0
40,Good,Medium,0,Recently Renovated,580000,0,00000,41,1420,690,0,0,1,0,1,0,2110,47.6964,1890,-122.118,11680,9600,2.5,4,1,0,1,7,580000,1,0,0
40,Good,Medium,0,Recently Renovated,449950,0,00000,41,1230,840,0,0,1,0,1,0,2070,47.6958,1770,-122.12,7312,7668,2.5,4,1,0,1,7,449950,1,0,0
40,Good,Medium,0,Recently Renovated,313100,0,00000,41,1450,1210,0,0,1,0,1,0,2660,47.4558,1870,-122.212,9030,9030,2.5,4,1,0,1,7,313100,1,0,0
40,Good,Medium,0,Recently Renovated,518000,0,00000,42,1220,520,0,0,1,0,1,0,1740,47.6927,1790,-122.124,7500,7350,2.5,4,1,0,1,7,518000,1,0,0
40,Good,Medium,0,Recently Renovated,440000,0,00000,42,1390,770,0,0,1,0,1,0,2160,47.7754,2190,-122.276,7826,9900,2.5,4,1,0,1,7,440000,1,0,0
40,Good,Medium,0,Recently Renovated,550000,0,00000,42,1140,800,0,0,1,0,1,0,1940,47.683,2200,-122.114,10500,10500,2.5,4,1,0,1,7,550000,1,0,0
40,Good,Medium,0,Recently Renovated,468000,0,00000,42,1240,860,0,0,1,0,1,0,2100,47.735,1980,-122.17,8400,8610,2.5,4,1,0,1,7,468000,1,0,0
40,Good,Small,0,Recently Renovated,459500,0,00000,43,1190,870,0,0,1,0,1,0,2060,47.7686,1350,-122.317,8968,8972,2.5,4,1,0,1,7,459500,1,0,0
40,Good,Medium,0,Recently Renovated,470000,0,00000,43,1320,1000,0,0,1,0,1,0,2320,47.763,2160,-122.16,12042,7054,2.5,4,1,0,1,7,470000,1,0,0
40,Good,Medium,0,Recently Renovated,479000,0,00000,45,1230,820,0,0,1,0,1,0,2050,47.7242,1610,-122.217,6705,7292,2.5,4,1,0,1,7,479000,1,0,0
40,Good,Medium,0,Recently Renovated,405000,0,00000,46,1130,900,0,0,1,0,1,0,2030,47.7321,1940,-122.185,9095,8000,2.5,4,1,0,1,7,405000,1,0,0
40,Good,Medium,0,Recently Renovated,475000,0,00000,46,1140,1100,0,0,1,0,1,0,2240,47.7161,1740,-122.17,7245,7350,2.5,4,1,0,1,7,475000,1,0,0
40,Good,Medium,0,Recently Renovated,467500,0,00000,49,1880,1280,0,0,1,0,1,0,3160,47.7368,2070,-122.183,7210,7560,2.5,4,1,0,1,7,467500,1,0,0
50,Good,Medium,0,Recently Renovated,556300,0,00000,50,1400,630,0,0,1,0,1,0,2030,47.6244,1800,-122.109,7140,7565,2.5,4,1,0,1,7,556300,1,0,0
50,Good,Medium,0,Recently Renovated,290000,0,00000,50,1200,800,0,0,1,0,1,0,2000,47.353,1800,-122.294,13300,9810,2.5,4,1,0,1,7,290000,1,0,0
50,Good,Medium,0,Recently Renovated,540000,0,00000,50,1180,1000,0,0,1,0,1,0,2180,47.6822,1840,-122.111,10140,9375,2.5,4,1,0,1,7,540000,1,0,0
50,Good,Medium,0,Recently Renovated,244950,0,00000,52,1790,0,0,0,1,0,1,0,1790,47.3617,1760,-122.172,19177,11726,2.5,4,1,0,1,7,244950,1,0,0
50,Good,Medium,0,Recently Renovated,575000,0,00000,52,1290,990,0,0,1,0,1,0,2280,47.6297,1560,-122.117,9491,8050,2.5,4,1,0,1,7,575000,1,0,0
50,Good,Medium,0,Recently Renovated,370000,0,00000,52,1110,1080,0,0,1,0,1,0,2190,47.4712,1820,-122.112,17600,17600,2.5,4,1,0,1,7,370000,1,0,0
50,Good,Medium,0,Recently Renovated,224950,0,00000,53,1520,740,0,0,1,0,1,0,2260,47.286,1750,-122.218,9686,9916,2.5,4,1,0,1,7,224950,1,0,0
50,Good,Small,0,Recently Renovated,285000,0,00000,53,1440,920,0,0,1,0,1,0,2360,47.3417,1450,-122.277,7350,7305,2.5,4,1,0,1,7,285000,1,0,0
50,Good,Medium,0,Recently Renovated,440000,0,00000,53,1280,1280,0,0,1,0,1,0,2560,47.5225,1740,-122.04,10400,11050,2.5,4,1,0,1,7,440000,1,0,0
50,Good,Medium,0,Recently Renovated,732600,0,00000,55,1230,900,0,0,1,0,1,0,2130,47.605,2130,-122.167,7300,7560,2.5,4,1,0,1,7,732600,1,0,0
50,Good,Medium,0,Recently Renovated,440000,0,00000,57,1190,1110,0,0,1,0,1,0,2300,47.7341,1960,-122.242,10880,10400,2.5,4,1,0,1,7,440000,1,0,0
50,Good,Medium,0,Recently Renovated,460000,0,00000,57,1300,1250,0,0,1,0,1,0,2550,47.7682,2080,-122.284,19017,21100,2.5,4,1,0,1,7,460000,1,0,0
50,Good,Medium,0,Recently Renovated,755000,0,00000,58,1620,500,0,0,1,0,1,0,2120,47.5858,1570,-122.17,10202,10762,2.5,4,1,0,1,7,755000,1,0,0
50,Good,Small,0,Recently Renovated,255000,0,00000,59,1580,0,0,0,1,0,1,0,1580,47.481,1320,-122.163,7800,7800,2.5,4,1,0,1,7,255000,1,0,0
60,Good,Small,0,Recently Renovated,380000,0,00000,60,1310,1090,0,0,1,0,1,0,2400,47.4952,1330,-122.178,9398,8249,2.5,4,1,0,1,7,380000,1,0,0
60,Good,Medium,0,Recently Renovated,772000,0,00000,60,1250,1250,0,0,1,0,1,0,2500,47.6073,2140,-122.192,8680,8680,2.5,4,1,0,1,7,772000,1,0,0
60,Good,Medium,0,Recently Renovated,556000,0,00000,61,1220,1010,0,0,1,0,1,0,2230,47.589,1920,-122.156,7200,7200,2.5,4,1,0,1,7,556000,1,0,0
60,Good,Medium,0,Recently Renovated,455000,0,00000,62,1320,0,0,0,1,0,1,0,1320,47.6007,1550,-122.127,7000,8610,2.5,4,1,0,1,7,455000,1,0,0
60,Good,Small,0,Recently Renovated,450000,0,00000,63,2300,0,0,0,1,0,1,0,2300,47.4793,1460,-121.776,19250,19250,2.5,4,1,0,1,7,450000,1,0,0
60,Good,Medium,0,Recently Renovated,710000,0,00000,63,1360,1360,0,0,1,0,1,0,2720,47.5237,1790,-122.391,8000,8000,2.5,4,1,0,1,7,710000,1,0,0
60,Good,Medium,0,Recently Renovated,515000,0,00000,65,1530,500,0,0,1,0,1,0,2030,47.4413,2400,-122.345,39049,14605,2.5,4,1,0,1,7,515000,1,0,0
60,Good,Small,0,Recently Renovated,339000,0,00000,66,1740,0,0,0,1,0,1,0,1740,47.5026,1190,-122.236,6000,6000,2.5,4,1,0,1,7,339000,1,0,0
60,Good,Medium,0,Recently Renovated,790000,0,00000,69,1760,800,0,0,1,0,1,0,2560,47.6947,1760,-122.303,12760,6384,2.5,4,1,0,1,7,790000,1,0,0
70,Good,Small,0,Recently Renovated,464500,0,00000,71,1610,140,0,0,1,0,1,0,1750,47.7425,1080,-122.321,11381,11375,2.5,4,1,0,1,7,464500,1,0,0
30,Good,Medium,0,Recently Renovated,302000,0,00000,30,2030,0,0,0,1,0,1,0,2030,47.282,1790,-122.303,9120,7627,2.75,4,1,0,1,7,302000,1,0,0
30,Good,Medium,0,Recently Renovated,430000,0,00000,30,1220,600,0,0,1,0,1,0,1820,47.5204,1630,-122.205,5400,5400,2.75,4,1,0,1,7,430000,1,0,0
30,Good,Medium,0,Recently Renovated,310000,0,00000,30,1310,750,0,0,1,0,1,0,2060,47.3581,1540,-122.317,8100,8100,2.75,4,1,0,1,7,310000,1,0,0
30,Good,Medium,0,Recently Renovated,279000,0,00000,31,1330,850,0,0,1,0,1,0,2180,47.4045,1500,-122.174,8475,7140,2.75,4,1,0,1,7,279000,1,0,0
30,Good,Medium,0,Recently Renovated,307000,0,00000,31,1260,1260,0,0,1,0,1,0,2520,47.4038,1930,-122.175,6964,6949,2.75,4,1,0,1,7,307000,1,0,0
30,Good,Small,0,Recently Renovated,480000,0,00000,32,1180,870,0,0,1,0,1,0,2050,47.5808,1440,-122.394,3960,5040,2.75,4,1,0,1,7,480000,1,0,0
30,Good,Medium,0,Recently Renovated,410000,0,00000,35,1260,960,0,0,1,0,1,0,2220,47.4804,1580,-122.157,8450,8450,2.75,4,1,0,1,7,410000,1,0,0
30,Good,Medium,0,Recently Renovated,200000,0,00000,38,1430,480,0,0,1,0,1,0,1910,47.3693,1750,-122.169,7210,7446,2.75,4,1,0,1,7,200000,1,0,0
30,Good,Medium,0,Recently Renovated,272000,0,00000,38,1200,610,0,0,1,0,1,0,1810,47.3703,1750,-122.171,7350,7350,2.75,4,1,0,1,7,272000,1,0,0
30,Good,Medium,0,Recently Renovated,250000,0,00000,38,1000,910,0,0,1,0,1,0,1910,47.369,1880,-122.17,7700,7875,2.75,4,1,0,1,7,250000,1,0,0
30,Good,Medium,0,Recently Renovated,425000,0,00000,39,1080,600,0,0,1,0,1,0,1680,47.739,1890,-122.243,9545,9545,2.75,4,1,0,1,7,425000,1,0,0
40,Good,Medium,0,Recently Renovated,305000,0,00000,41,1230,800,0,0,1,0,1,0,2030,47.3942,1810,-122.16,8600,8600,2.75,4,1,0,1,7,305000,1,0,0
40,Good,Medium,0,Recently Renovated,445000,0,00000,42,1220,940,0,0,1,0,1,0,2160,47.7177,1790,-122.224,7200,7614,2.75,4,1,0,1,7,445000,1,0,0
40,Good,Medium,0,Recently Renovated,500000,0,00000,42,1690,940,0,0,1,0,1,0,2630,47.7425,1800,-122.089,15000,16500,2.75,4,1,0,1,7,500000,1,0,0
40,Good,Medium,0,Recently Renovated,645000,0,00000,44,1310,1030,0,0,1,0,1,0,2340,47.5559,2020,-122.379,6350,6350,2.75,4,1,0,1,7,645000,1,0,0
40,Good,Medium,0,Recently Renovated,498000,0,00000,45,1290,980,0,0,1,0,1,0,2270,47.7222,1750,-122.168,7375,7760,2.75,4,1,0,1,7,498000,1,0,0
50,Good,Medium,0,Recently Renovated,575000,0,00000,50,1000,960,0,0,1,0,1,0,1960,47.5693,1830,-122.285,4635,6180,2.75,4,1,0,1,7,575000,1,0,0
50,Good,Medium,0,Recently Renovated,485000,0,00000,50,1500,1060,0,0,1,0,1,0,2560,47.7278,2280,-122.177,8956,9234,2.75,4,1,0,1,7,485000,1,0,0
50,Good,Large,0,Recently Renovated,584950,0,00000,51,1300,750,0,0,1,0,1,0,2050,47.5945,2960,-122.056,17859,20908,2.75,4,1,0,1,7,584999,1,0,0
50,Good,Medium,0,Recently Renovated,625000,0,00000,52,1680,0,0,0,1,0,1,0,1680,47.6557,2400,-122.127,11180,9627,2.75,4,1,0,1,7,625000,1,0,0
50,Good,Large,0,Recently Renovated,350000,0,00000,57,1970,1420,0,0,1,0,1,0,3390,47.3954,2530,-122.184,16153,8495,2.75,4,1,0,1,7,350000,1,0,0
60,Good,Small,0,Recently Renovated,445000,0,00000,60,1340,1340,0,0,1,0,1,0,2680,47.542,1240,-122.364,16934,7000,2.75,4,1,0,1,7,445000,1,0,0
60,Good,Medium,0,Recently Renovated,758000,0,00000,62,1780,630,0,0,1,0,1,0,2410,47.6503,2090,-122.197,9549,9549,2.75,4,1,0,1,7,758000,1,0,0
70,Good,Medium,0,Recently Renovated,650000,0,00000,78,1420,490,0,0,1,0,1,0,1910,47.6952,2300,-122.39,16532,8250,2.75,4,1,0,1,7,650000,1,0,0
40,Good,Medium,0,Recently Renovated,518000,0,00000,40,1330,1100,0,0,1,0,1,0,2430,47.7307,1580,-122.228,11670,10464,3,4,1,0,1,7,518000,1,0,0
50,Good,Medium,0,Recently Renovated,450000,0,00000,51,1270,620,0,0,1,0,1,0,1890,47.5221,1900,-122.044,13140,11160,3,4,1,0,1,7,450000,1,0,0
50,Good,Medium,0,Recently Renovated,258000,0,00000,51,1710,1000,0,0,1,0,1,0,2710,47.3789,2070,-122.213,7199,9271,3,4,1,0,1,7,258000,1,0,0
50,Good,Medium,0,Recently Renovated,675000,0,00000,54,1200,1200,0,0,1,0,1,0,2400,47.6646,1520,-122.365,3340,3758,3,4,1,0,1,7,675000,1,0,0
50,Good,Medium,0,Recently Renovated,735000,0,00000,55,1250,1000,0,0,1,0,1,0,2250,47.6045,1960,-122.169,7245,7245,3,4,1,0,1,7,735000,1,0,0
70,Good,Small,0,Recently Renovated,265000,0,00000,70,1940,0,0,0,1,0,1,0,1940,47.7381,1310,-122.302,8170,8169,3,4,1,0,1,7,265000,1,0,0
50,Good,Medium,0,Recently Renovated,599000,0,00000,56,1840,1860,0,0,1,0,1,0,3700,47.768,1720,-122.251,11000,11564,4.75,4,1,0,1,7,599000,1,0,0
50,Good,Medium,0,Recently Renovated,346000,0,00000,54,1350,440,0,0,1,0,1,0,1790,47.3469,2420,-122.195,30456,35647,1,5,1,0,1,7,346000,1,0,0
